acl 2.2.52-4
sound-theme-freedesktop 0.8-2
source-highlight 3.1.8-14
speex 1.2.0-1
speexdsp 1.2rc3-2
spice 0.14.0-2
sqlite 3.23.1-1
startup-notification 0.12-5
sudo 1.8.22-1
sysfsutils 2.1.0-9
systemd 238.76-1
systemd-sysvcompat 238.76-1
taglib 1.11.1-1
talloc 2.1.13-1
tar 1.30-1
tcl 8.6.8-3
tcpdump 4.9.2-1
tdb 1.3.15-1
telegram-desktop 1.2.19-1
telegram-qt 0.1.0-2
tensorflow-cuda 1.8.0-1
tevent 1:0.9.36-1
texinfo 6.5-1
thin-provisioning-tools 0.7.6-1
tk 8.6.8-3
tmux 2.7-1
transmission-cli 2.94-1
transmission-qt 2.94-1
tree 1.7.0-2
tslib 1.16-1
ttf-dejavu 2.37-2
ttf-droid 20121017-5
ttf-freefont 20120503-4
txt2man 1.6.0-1
tzdata 2018e-1
uchardet 0.0.6-1
unclutter 8-10
unzip 6.0-12
usbredir 0.7.1-1
usbutils 009-1
util-linux 2.32-3
v4l-utils 1.14.2-1
vala 0.40.4-1
vamp-plugin-sdk 2.7.1-2
vde2 2.3.2-10
vi 1:070224-2
vid.stab 1.1-1
vim-runtime 8.0.1815-1
virtualbox 5.2.12-1
virtualbox-ext-oracle 5.2.12-1
virtualbox-host-modules-arch 5.2.12-1
w3m 0.5.3.git20180125-1
wavpack 5.1.0-2
wayland 1.14.0-1
wayland-protocols 1.13-1
webrtc-audio-processing 0.3-2
wget 1.19.5-1
which 2.21-2
wireless_tools 30.pre9-1
wpa_supplicant 1:2.6-11
wxgtk-common 3.0.4-1
wxgtk3 3.0.4-1
x265 2.7-1
xcape 1.2-2
xcb-proto 1.13-1
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.3-1
xdg-utils 1.1.2-2
xf86-input-libinput 0.27.1-1
xfsprogs 4.15.1-1
xkeyboard-config 2.23.1-3
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-encodings 1.0.4-4
xorg-mkfontdir 1.0.7-8
xorg-mkfontscale 1.1.3-1
xorg-server 1.19.6+13+gd0d1a694f-2
xorg-server-common 1.19.6+13+gd0d1a694f-2
xorg-setxkbmap 1.3.1-1
xorg-xauth 1.0.10-1
xorg-xfd 1.1.2-1
xorg-xinit 1.4.0-3
xorg-xkbcomp 1.4.1-1
xorg-xmodmap 1.0.9-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.1-1
xorg-xset 1.2.4-1
xorgproto 2018.4-1
xvidcore 1.3.5-1
xz 5.2.4-1
yajl 2.1.0-1
youtube-dl 2018.05.09-1
zeromq 4.2.2-2
zip 3.0-7
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.6.0-2
zlib 1:1.2.11-2
zsh 5.5.1-1
zziplib 0.13.69-1
